id,name,description,category,hsn_code,meta,created_at,updated_at,category_code
52,"IRON AND STEEL~Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having minimum purity by weight of 99.94%, in lumps, pellets or similar forms~Ferrous products obtained b...",,Iron and Steel,720310,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
53,"FERROUS PRODUCTS OBTAINED BY DIRECT REDUCTION OF IRON ORE AND OTHER SPONGY FERROUS PRODUCTS, IN LUMPS, PELLETS OR SIMILAR FORMS; IRON HAVING MINIMUM PURITY BY WEIGHT OF 99.94%, IN LUMPS, PELLETS OR SIMILAR FORMS - FERROUS PRODUCTS OBTAINED BY DIRECT REDU...",,Iron and Steel,72031000,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
54,"IRON AND STEEL~Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having minimum purity by weight of 99.94%, in lumps, pellets or similar forms~Other",,Iron and Steel,720390,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
55,"FERROUS PRODUCTS OBTAINED BY DIRECT REDUCTION OF IRON ORE AND OTHER SPONGY FERROUS PRODUCTS, IN LUMPS, PELLETS OR SIMILAR FORMS; IRON HAVING MINIMUM PURITY BY WEIGHT OF 99.94%, IN LUMPS, PELLETS OR SIMILAR FORMS - OTHER",,Iron and Steel,72039000,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
56,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL,,Iron and Steel,7204,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
57,IRON AND STEEL~Ferrous waste and scrap; remelting scrap ingots of iron or steel~Waste and scrap of cast iron,,Iron and Steel,720410,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
58,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - WASTE AND SCRAP OF CAST IRON,,Iron and Steel,72041000,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
59,Of stainless steel,,Iron and Steel,720421,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
60,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - WASTE AND SCRAP OF ALLOY STEEL : OF STAINLESS STEEL : EMPTY OR DISCHARGED CARTRIDGES OF ALL BORES AND SIZES,,Iron and Steel,72042110,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
61,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - WASTE AND SCRAP OF ALLOY STEEL : OF STAINLESS STEEL : OTHER,,Iron and Steel,72042190,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
62,Other,,Iron and Steel,720429,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
63,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - WASTE AND SCRAP OF ALLOY STEEL : OTHER : EMPTY OR DISCHARGED CARTRIDGES OF ALL BORES AND SIZES,,Iron and Steel,72042910,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
64,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - WASTE AND SCRAP OF ALLOY STEEL : OTHER : OF HIGH SPEED STEEL,,Iron and Steel,72042920,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
65,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - WASTE AND SCRAP OF ALLOY STEEL : OTHER : OTHER,,Iron and Steel,72042990,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
66,IRON AND STEEL~Ferrous waste and scrap; remelting scrap ingots of iron or steel~Waste and scrap of tinned iron or steel,,Iron and Steel,720430,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
67,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - WASTE AND SCRAP OF TINNED IRON OR STEEL,,Iron and Steel,72043000,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
68,"IRON AND STEEL~Ferrous waste and scrap; remelting scrap ingots of iron or steel~Turnings, shavings, chips, milling waste, saw dust, fillings, trimmings and stampings, whether or not in bundles",,Iron and Steel,720441,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
69,"FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - OTHER WASTE AND SCRAP : TURNINGS, SHAVINGS, CHIPS, MILLING WASTE, SAW DUST, FILLINGS, TRIMMINGS AND STAMPINGS, WHETHER OR NOT ` IN BUNDLES",,Iron and Steel,72044100,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
